uid,path,cog,fri_dur,word,consonant,vowel,train,label,label_idx,class
itsi_2466,PhonGen2025/data/itsi/itsi_2466.npy,3605.2372839165146,91.8524906635716,itsi,ts,i,yes,itsi,0,itsi
itsi_0466,PhonGen2025/data/itsi/itsi_0466.npy,3848.000072977382,87.79288950185519,itsi,ts,i,yes,itsi,0,itsi
itsi_2883,PhonGen2025/data/itsi/itsi_2883.npy,3614.5851447698974,92.4507580684868,itsi,ts,i,yes,itsi,0,itsi
itsi_4962,PhonGen2025/data/itsi/itsi_4962.npy,3609.718086514589,74.50554242264644,itsi,ts,i,yes,itsi,0,itsi
itsi_7043,PhonGen2025/data/itsi/itsi_7043.npy,4178.4301036388415,83.80648981159695,itsi,ts,i,yes,itsi,0,itsi
itsi_6241,PhonGen2025/data/itsi/itsi_6241.npy,4642.75202550924,106.58651694364504,itsi,ts,i,yes,itsi,0,itsi
itsi_5448,PhonGen2025/data/itsi/itsi_5448.npy,4145.878949680511,98.38430078712965,itsi,ts,i,yes,itsi,0,itsi
itsi_1503,PhonGen2025/data/itsi/itsi_1503.npy,3163.813908894449,97.77354581935371,itsi,ts,i,yes,itsi,0,itsi
itsi_3916,PhonGen2025/data/itsi/itsi_3916.npy,3873.230364392936,119.88648010490168,itsi,ts,i,yes,itsi,0,itsi
itsi_3263,PhonGen2025/data/itsi/itsi_3263.npy,3902.81721296363,99.53647698063304,itsi,ts,i,yes,itsi,0,itsi
itsi_0264,PhonGen2025/data/itsi/itsi_0264.npy,4021.934576905844,73.78451389657383,itsi,ts,i,yes,itsi,0,itsi
itsi_3807,PhonGen2025/data/itsi/itsi_3807.npy,3917.361203034028,103.4109962955894,itsi,ts,i,yes,itsi,0,itsi
itsi_4085,PhonGen2025/data/itsi/itsi_4085.npy,3633.062530634248,78.86189094897904,itsi,ts,i,yes,itsi,0,itsi
itsi_7840,PhonGen2025/data/itsi/itsi_7840.npy,4523.185179235694,110.8939586407997,itsi,ts,i,yes,itsi,0,itsi
itsi_1812,PhonGen2025/data/itsi/itsi_1812.npy,4340.94166475164,107.5733886198037,itsi,ts,i,yes,itsi,0,itsi
itsi_1145,PhonGen2025/data/itsi/itsi_1145.npy,3705.0495500066313,103.70385326130784,itsi,ts,i,yes,itsi,0,itsi
itsi_5828,PhonGen2025/data/itsi/itsi_5828.npy,3330.3300600940447,78.84617775424277,itsi,ts,i,yes,itsi,0,itsi
itsi_2150,PhonGen2025/data/itsi/itsi_2150.npy,4445.087105079128,92.58252231425848,itsi,ts,i,yes,itsi,0,itsi
itsi_3930,PhonGen2025/data/itsi/itsi_3930.npy,3454.5536370612613,87.25629535670404,itsi,ts,i,yes,itsi,0,itsi
itsi_6320,PhonGen2025/data/itsi/itsi_6320.npy,3181.026823539579,79.26166613775268,itsi,ts,i,yes,itsi,0,itsi
itsi_3291,PhonGen2025/data/itsi/itsi_3291.npy,3319.2454407637897,98.74712252194014,itsi,ts,i,yes,itsi,0,itsi
itsi_0683,PhonGen2025/data/itsi/itsi_0683.npy,3553.3761865661527,84.63172143157874,itsi,ts,i,yes,itsi,0,itsi
itsi_2841,PhonGen2025/data/itsi/itsi_2841.npy,3869.895611459128,108.8466095121594,itsi,ts,i,yes,itsi,0,itsi
itsi_1003,PhonGen2025/data/itsi/itsi_1003.npy,4531.208305436565,103.37229680695148,itsi,ts,i,yes,itsi,0,itsi
itsi_6756,PhonGen2025/data/itsi/itsi_6756.npy,3939.540155689502,105.16191276994074,itsi,ts,i,yes,itsi,0,itsi
itsi_5130,PhonGen2025/data/itsi/itsi_5130.npy,4489.136055040399,85.78564426920684,itsi,ts,i,yes,itsi,0,itsi
itsi_4291,PhonGen2025/data/itsi/itsi_4291.npy,4048.259985025739,93.73200580992696,itsi,ts,i,yes,itsi,0,itsi
itsi_2174,PhonGen2025/data/itsi/itsi_2174.npy,4496.307347690299,87.40021483062561,itsi,ts,i,yes,itsi,0,itsi
itsi_0484,PhonGen2025/data/itsi/itsi_0484.npy,4155.045541878749,113.62974008471754,itsi,ts,i,yes,itsi,0,itsi
itsi_3814,PhonGen2025/data/itsi/itsi_3814.npy,4138.076375792212,83.95416025946413,itsi,ts,i,yes,itsi,0,itsi
itsi_4415,PhonGen2025/data/itsi/itsi_4415.npy,3892.45418877883,83.02055952640369,itsi,ts,i,yes,itsi,0,itsi
itsi_0519,PhonGen2025/data/itsi/itsi_0519.npy,4906.635199984794,94.67008158237648,itsi,ts,i,yes,itsi,0,itsi
itsi_6989,PhonGen2025/data/itsi/itsi_6989.npy,3528.736147316464,101.3663878468506,itsi,ts,i,yes,itsi,0,itsi
itsi_1346,PhonGen2025/data/itsi/itsi_1346.npy,3910.391180979524,121.64688199170988,itsi,ts,i,yes,itsi,0,itsi
itsi_0697,PhonGen2025/data/itsi/itsi_0697.npy,3735.276814497184,116.41193588036064,itsi,ts,i,yes,itsi,0,itsi
itsi_1010,PhonGen2025/data/itsi/itsi_1010.npy,3987.347860687635,98.48898170753448,itsi,ts,i,yes,itsi,0,itsi
itsi_6318,PhonGen2025/data/itsi/itsi_6318.npy,4092.868713915001,76.75345302114354,itsi,ts,i,yes,itsi,0,itsi
itsi_6596,PhonGen2025/data/itsi/itsi_6596.npy,3712.5435561550416,107.88914843880116,itsi,ts,i,yes,itsi,0,itsi
itsi_2771,PhonGen2025/data/itsi/itsi_2771.npy,3346.2469591344493,95.14285503826036,itsi,ts,i,yes,itsi,0,itsi
LtsL_2216,PhonGen2025/data/LtsL/LtsL_2216.npy,3202.6360913136687,83.98983781685752,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_2583,PhonGen2025/data/LtsL/LtsL_2583.npy,4227.3927281009255,96.04143944517436,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_1663,PhonGen2025/data/LtsL/LtsL_1663.npy,4584.093833970147,110.3245820310847,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_3028,PhonGen2025/data/LtsL/LtsL_3028.npy,4077.0742496650737,110.69203707905233,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_4344,PhonGen2025/data/LtsL/LtsL_4344.npy,3939.0735353859454,91.3937146670638,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_2681,PhonGen2025/data/LtsL/LtsL_2681.npy,4640.917327334614,104.88386871685488,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_1766,PhonGen2025/data/LtsL/LtsL_1766.npy,3363.8209840042773,95.02275593383362,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_1124,PhonGen2025/data/LtsL/LtsL_1124.npy,3813.4011375530727,117.65277909024314,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_4055,PhonGen2025/data/LtsL/LtsL_4055.npy,4396.614024820784,118.18904692816436,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_3762,PhonGen2025/data/LtsL/LtsL_3762.npy,4288.969658436432,90.75096730603798,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_1536,PhonGen2025/data/LtsL/LtsL_1536.npy,4540.665948269478,85.83379974325868,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_2945,PhonGen2025/data/LtsL/LtsL_2945.npy,3216.6419177849943,108.6220609064446,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_2988,PhonGen2025/data/LtsL/LtsL_2988.npy,3816.8647696624166,87.59857205663263,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_4292,PhonGen2025/data/LtsL/LtsL_4292.npy,4258.919728088676,107.1728623749873,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_4343,PhonGen2025/data/LtsL/LtsL_4343.npy,4208.306931342222,79.59130391030074,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_4425,PhonGen2025/data/LtsL/LtsL_4425.npy,3947.57502486283,103.24185891746822,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_7942,PhonGen2025/data/LtsL/LtsL_7942.npy,4532.400815742178,94.97336180686165,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_4998,PhonGen2025/data/LtsL/LtsL_4998.npy,3996.643557899614,103.90522344230092,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_2749,PhonGen2025/data/LtsL/LtsL_2749.npy,3450.121378529904,87.71348946660376,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_2303,PhonGen2025/data/LtsL/LtsL_2303.npy,4015.1660238794097,82.0238434808305,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_3933,PhonGen2025/data/LtsL/LtsL_3933.npy,4225.611847388476,92.02228499551364,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_5957,PhonGen2025/data/LtsL/LtsL_5957.npy,3502.1002972428287,90.04760787203699,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_6132,PhonGen2025/data/LtsL/LtsL_6132.npy,3790.177825107218,87.98195751505224,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_7597,PhonGen2025/data/LtsL/LtsL_7597.npy,3917.7488681949576,80.5686808266584,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_0795,PhonGen2025/data/LtsL/LtsL_0795.npy,4163.984220389332,86.61588448886106,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_3164,PhonGen2025/data/LtsL/LtsL_3164.npy,3532.066002144524,72.75598543514378,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_7941,PhonGen2025/data/LtsL/LtsL_7941.npy,3872.571358785542,117.89304443105848,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_3182,PhonGen2025/data/LtsL/LtsL_3182.npy,3823.62095544916,98.122208733923,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_0764,PhonGen2025/data/LtsL/LtsL_0764.npy,4112.416807227303,83.95368865573947,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_3079,PhonGen2025/data/LtsL/LtsL_3079.npy,3588.405959885275,112.72486292599103,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_0812,PhonGen2025/data/LtsL/LtsL_0812.npy,3782.354336115229,91.49495253966435,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_7260,PhonGen2025/data/LtsL/LtsL_7260.npy,4472.511043626872,80.36318752768558,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_6932,PhonGen2025/data/LtsL/LtsL_6932.npy,3105.418541554332,80.8191050534405,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_1619,PhonGen2025/data/LtsL/LtsL_1619.npy,3771.4920987460496,86.62991008453729,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_6827,PhonGen2025/data/LtsL/LtsL_6827.npy,3087.6014195274884,86.73903850502924,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_1043,PhonGen2025/data/LtsL/LtsL_1043.npy,4275.124460515894,91.1017664991243,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_5319,PhonGen2025/data/LtsL/LtsL_5319.npy,4104.884021295804,90.83802333187684,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_4795,PhonGen2025/data/LtsL/LtsL_4795.npy,3560.739433149791,93.5604543067076,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_0488,PhonGen2025/data/LtsL/LtsL_0488.npy,3786.493875880176,93.04227701360207,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_1018,PhonGen2025/data/LtsL/LtsL_1018.npy,4463.485429174291,99.54799459834808,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_2816,PhonGen2025/data/LtsL/LtsL_2816.npy,3592.545186958322,114.14251589771652,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_2717,PhonGen2025/data/LtsL/LtsL_2717.npy,3768.404516120852,100.71130366066994,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_5364,PhonGen2025/data/LtsL/LtsL_5364.npy,4279.445419126359,84.05422131906484,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_2930,PhonGen2025/data/LtsL/LtsL_2930.npy,3894.623931351536,100.47299319992914,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_3363,PhonGen2025/data/LtsL/LtsL_3363.npy,4222.406110024544,113.06358206623536,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_5166,PhonGen2025/data/LtsL/LtsL_5166.npy,3709.112997857824,94.61158232113657,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_1076,PhonGen2025/data/LtsL/LtsL_1076.npy,3503.8024389838383,92.48476729683448,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_6399,PhonGen2025/data/LtsL/LtsL_6399.npy,3677.884188982379,104.25820025676305,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_4982,PhonGen2025/data/LtsL/LtsL_4982.npy,3974.427235671152,93.60790474349398,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_6229,PhonGen2025/data/LtsL/LtsL_6229.npy,3988.568194021231,89.38576000744717,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_2922,PhonGen2025/data/LtsL/LtsL_2922.npy,3601.1857076002384,90.71804666203164,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_4020,PhonGen2025/data/LtsL/LtsL_4020.npy,3871.634441822479,99.215535416479,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_4332,PhonGen2025/data/LtsL/LtsL_4332.npy,3856.852675717728,99.05814005933708,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_7000,PhonGen2025/data/LtsL/LtsL_7000.npy,4244.370451761401,89.34780070008283,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_1323,PhonGen2025/data/LtsL/LtsL_1323.npy,4010.465813588645,78.28117306513786,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_7732,PhonGen2025/data/LtsL/LtsL_7732.npy,4308.172151168204,85.26438757489863,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_2253,PhonGen2025/data/LtsL/LtsL_2253.npy,3801.350674865139,98.36735493005348,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_6655,PhonGen2025/data/LtsL/LtsL_6655.npy,3682.8003581828752,86.5604640844071,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_7245,PhonGen2025/data/LtsL/LtsL_7245.npy,4094.586738816333,94.17986677578112,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_0867,PhonGen2025/data/LtsL/LtsL_0867.npy,4177.64593808448,106.94811436604704,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_5592,PhonGen2025/data/LtsL/LtsL_5592.npy,3373.386121129384,86.7501844171284,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_2466,PhonGen2025/data/LtsL/LtsL_2466.npy,3722.42820889472,99.36538095579644,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_0466,PhonGen2025/data/LtsL/LtsL_0466.npy,4027.228632136712,82.30121598922251,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_2883,PhonGen2025/data/LtsL/LtsL_2883.npy,3855.296471159896,94.20610675515802,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_4962,PhonGen2025/data/LtsL/LtsL_4962.npy,3765.322291947359,96.4162918190928,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_7043,PhonGen2025/data/LtsL/LtsL_7043.npy,4547.01698049446,85.45140107569503,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_6241,PhonGen2025/data/LtsL/LtsL_6241.npy,4560.037025365478,94.93675635753468,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_5448,PhonGen2025/data/LtsL/LtsL_5448.npy,4468.006794590671,71.64302053579323,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_1503,PhonGen2025/data/LtsL/LtsL_1503.npy,3485.161066568912,90.1265489659412,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_3916,PhonGen2025/data/LtsL/LtsL_3916.npy,4570.894276679367,89.94080694238772,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_3263,PhonGen2025/data/LtsL/LtsL_3263.npy,3950.051725166128,108.14375279872591,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_0264,PhonGen2025/data/LtsL/LtsL_0264.npy,4025.397063476209,109.09460978424336,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_3807,PhonGen2025/data/LtsL/LtsL_3807.npy,3478.116629717144,106.03716428364996,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_4085,PhonGen2025/data/LtsL/LtsL_4085.npy,4636.221662338247,81.7416203765774,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_7840,PhonGen2025/data/LtsL/LtsL_7840.npy,3574.8543466604974,95.88867611345091,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_1812,PhonGen2025/data/LtsL/LtsL_1812.npy,3090.9196812789337,109.7498080756688,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_1145,PhonGen2025/data/LtsL/LtsL_1145.npy,4165.843785943838,99.02390440719756,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_5828,PhonGen2025/data/LtsL/LtsL_5828.npy,4354.306022796108,89.70496412064828,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_2150,PhonGen2025/data/LtsL/LtsL_2150.npy,3629.7617501152977,114.61392401397612,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_3930,PhonGen2025/data/LtsL/LtsL_3930.npy,4449.226777454998,89.75558050242478,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_6320,PhonGen2025/data/LtsL/LtsL_6320.npy,4338.963548594073,89.93213317228776,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_3291,PhonGen2025/data/LtsL/LtsL_3291.npy,3668.773381783045,109.94788210739496,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_0683,PhonGen2025/data/LtsL/LtsL_0683.npy,4000.877277256076,102.3186824631067,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_2841,PhonGen2025/data/LtsL/LtsL_2841.npy,3913.0505668666574,94.30394457864476,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_1003,PhonGen2025/data/LtsL/LtsL_1003.npy,3957.360297670142,93.89196723526253,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_6756,PhonGen2025/data/LtsL/LtsL_6756.npy,4498.319681804964,83.50536451195967,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_5130,PhonGen2025/data/LtsL/LtsL_5130.npy,4777.401063625478,91.86749133510295,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_4291,PhonGen2025/data/LtsL/LtsL_4291.npy,3548.9398952555216,100.9303629967948,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_2174,PhonGen2025/data/LtsL/LtsL_2174.npy,4639.180075059927,109.61190027938142,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_0484,PhonGen2025/data/LtsL/LtsL_0484.npy,4018.950471669046,104.43781385693586,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_3814,PhonGen2025/data/LtsL/LtsL_3814.npy,4951.297191346149,94.22219708887263,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_4415,PhonGen2025/data/LtsL/LtsL_4415.npy,4094.507598077066,115.47135522217027,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_0519,PhonGen2025/data/LtsL/LtsL_0519.npy,3842.130992603463,109.5004895284552,LtsL,ts,L,no,LtsL,1,LtsL
LtsL_6989,PhonGen2025/data/LtsL/LtsL_6989.npy,3870.8574347382696,115.9106855612408,LtsL,ts,L,no,LtsL,1,LtsL
